adset_id,ad_id,ad_name,effective_status,theme,headline,primary_text,spend,impressions,link_clicks,CPM,link_CTR,link_CPC,form_starts,completions,CPL
120250682685570660,120250682697730660,CP - steps - v10 Own an apartment building?,ACTIVE,Apartment building owner,Own an apartment building?,"We insure apartment buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0.15,3,0,50.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682699740660,CP - steps - focus_plaza_renewing Commercial property renewing?,ACTIVE,Building policy renewal,Commercial property renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",0.14,7,0,20.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250571669050660,CP - landing - focus_plaza_retail Own retail or plaza space?,ACTIVE,Retail / plaza / commercial owner,Own retail or plaza space?,"We insure strip centers and retail plazas and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",0.13,7,0,18.57,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540506300660,CP - landing - v13 Building policy renewing?,ACTIVE,Building policy renewal,Building policy renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",0.1,4,0,25.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682694370660,CP - steps - v11 Overpaying on your building?,ACTIVE,Apartment building owner,Overpaying on your building?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own an apartment building? Want us to check your rate?",0.1,2,0,50.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682688700660,CP - steps - v27 Own an older building?,ACTIVE,Older building / updates,Own an older building?,"Older building? Recent roof, wiring, or plumbing updates can mean a much lower rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0.1,4,0,25.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250564550110660,CP - landing - v27 Own an older building?,ACTIVE,Older building / updates,Own an older building?,"Older building? Recent roof, wiring, or plumbing updates can mean a much lower rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0.09,2,0,45.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682689730660,CP - steps - v23 Financing or refinancing a bui,ACTIVE,Lender proof / financing,Financing or refinancing a building?,"Buying or refinancing? Your bank will require proof of property insurance. We handle it fast and shop your rate - one owner we quoted went from $25,000 to $15,000 a year. Want us to check yours?",0.07,1,0,70.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250571670670660,CP - landing - focus_plaza_renewing Commercial property renewing?,ACTIVE,Building policy renewal,Commercial property renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",0.06,3,0,20.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682700460660,CP - steps - v12 Lease space to tenants?,ACTIVE,General landlord / mixed-use owner,Lease space to tenants?,"We insure commercial buildings and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",0.05,3,0,16.67,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682700030660,"CP - steps - v04 We saved a property owner $10,",ACTIVE,General building owner: savings,"We saved a property owner $10,000/yr","$25,000 down to $15,000 in premium, same coverage. If you own a building, want us to check what you're overpaying?",0.04,2,0,20.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540504110660,CP - landing - v10 Own an apartment building?,ACTIVE,Apartment building owner,Own an apartment building?,"We insure apartment buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0.03,2,0,15.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682698900660,CP - steps - focus_apt_5plus Own a 5+ unit apartment buildi,ACTIVE,Apartment building owner,Own a 5+ unit apartment building?,"We insure apartment buildings (5+ units) and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0.01,1,0,10.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682698330660,CP - steps - focus_apt_overpay Overpaying on your apartments?,ACTIVE,Apartment building owner,Overpaying on your apartments?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own a 5+ unit apartment building? Want us to check your rate?",0,0,0,,,,Not measured: before September 19 fix,0,
120250682685570660,120250682700950660,CP - steps - v19 Own a building?,ACTIVE,Apartment building owner,Own a building?,"Apartments, mixed-use, commercial - whatever you own, we'll check what you're paying to insure it. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not measured: before September 19 fix,0,
120250682685570660,120250682690140660,CP - steps - v20 Own a senior living facility?,ACTIVE,Senior / assisted living building,Own a senior living facility?,"We insure senior living and assisted-living buildings (commercial property). One owner we quoted saved $10,000 a year, same coverage - and we get COIs to your lender fast. Want us to check yours?",0,0,0,,,,Not measured: before September 19 fix,0,
120250682685570660,120250682690510660,CP - steps - v21 Own a gym or fitness building?,ACTIVE,Gym / fitness building,Own a gym or fitness building?,"We insure the building your gym or studio operates in (commercial property). One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",0,0,0,,,,Not measured: before September 19 fix,0,
120250682685570660,120250682692130660,CP - steps - v24 Own an office building?,ACTIVE,Office building,Own an office building?,"We insure office buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",0,0,0,,,,Not measured: before September 19 fix,0,
120250540492550660,120250571671440660,CP - form - focus_apt_5plus Own a 5+ unit apartment buildi,ADSET_PAUSED,Apartment building owner,Own a 5+ unit apartment building?,"We insure apartment buildings (5+ units) and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250571672580660,CP - form - focus_apt_overpay Overpaying on your apartments?,ADSET_PAUSED,Apartment building owner,Overpaying on your apartments?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own a 5+ unit apartment building? Want us to check your rate?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250571668190660,CP - form - focus_plaza_own_bldg Own a commercial building?,ADSET_PAUSED,Retail / plaza / commercial owner,Own a commercial building?,"We insure commercial buildings - retail, plazas, offices. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check what you're overpaying?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250571667550660,CP - form - focus_plaza_own_prop Own a commercial property?,ADSET_PAUSED,Retail / plaza / commercial owner,Own a commercial property?,"Retail plaza, strip center, or storefront - if you own a commercial building, we'll check what you're paying to insure it. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250571669820660,CP - form - focus_plaza_renewing Commercial property renewing?,ADSET_PAUSED,Building policy renewal,Commercial property renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250571668920660,CP - form - focus_plaza_retail Own retail or plaza space?,ADSET_PAUSED,Retail / plaza / commercial owner,Own retail or plaza space?,"We insure strip centers and retail plazas and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540502130660,CP - form - v03 We cut a property's rate 40%,ADSET_PAUSED,General building owner: savings,We cut a property's rate 40%,"This owner was paying $25,000 a year to insure their building. Same coverage, we got it to $15,000 - 40% off. Own a building? Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540502940660,"CP - form - v04 We saved a property owner $10,",ADSET_PAUSED,General building owner: savings,"We saved a property owner $10,000/yr","$25,000 down to $15,000 in premium, same coverage. If you own a building, want us to check what you're overpaying?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540503900660,CP - form - v10 Own an apartment building?,ADSET_PAUSED,Apartment building owner,Own an apartment building?,"We insure apartment buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540504710660,CP - form - v11 Overpaying on your building?,ADSET_PAUSED,Apartment building owner,Overpaying on your building?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own an apartment building? Want us to check your rate?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540505130660,CP - form - v12 Lease space to tenants?,ADSET_PAUSED,General landlord / mixed-use owner,Lease space to tenants?,"We insure commercial buildings and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540505860660,CP - form - v13 Building policy renewing?,ADSET_PAUSED,Building policy renewal,Building policy renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540509260660,CP - form - v15 Building sitting empty?,ADSET_PAUSED,Vacant building,Building sitting empty?,"Most insurers won't touch a vacant building - we place what they decline. And we save owners real money, one recently by $10,000 a year. Want a quote?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540511200660,CP - form - v16 Renovating a building?,ADSET_PAUSED,Renovation / vacant building,Renovating a building?,"Vacant or under renovation, we get it covered while standard carriers walk away. One owner we quoted went from $25,000 to $15,000 a year. Want a rate check?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540513260660,CP - form - v18 More than one building?,ADSET_PAUSED,Multiple-building landlord,More than one building?,"We insure landlords with multiple buildings under one roof. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540514380660,CP - form - v19 Own a building?,ADSET_PAUSED,Apartment building owner,Own a building?,"Apartments, mixed-use, commercial - whatever you own, we'll check what you're paying to insure it. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540515620660,CP - form - v20 Own a senior living facility?,ADSET_PAUSED,Senior / assisted living building,Own a senior living facility?,"We insure senior living and assisted-living buildings (commercial property). One owner we quoted saved $10,000 a year, same coverage - and we get COIs to your lender fast. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540517230660,CP - form - v21 Own a gym or fitness building?,ADSET_PAUSED,Gym / fitness building,Own a gym or fitness building?,"We insure the building your gym or studio operates in (commercial property). One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540518290660,CP - form - v22 Bank asking for proof of insur,ADSET_PAUSED,Lender proof / financing,Bank asking for proof of insurance?,"If your lender needs evidence of property insurance to close, we get the COI (with mortgagee clause) to your bank fast. One owner we quoted also saved $10,000 a year. Need it today?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250540519990660,CP - form - v23 Financing or refinancing a bui,ADSET_PAUSED,Lender proof / financing,Financing or refinancing a building?,"Buying or refinancing? Your bank will require proof of property insurance. We handle it fast and shop your rate - one owner we quoted went from $25,000 to $15,000 a year. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250564534860660,CP - form - v24 Own an office building?,ADSET_PAUSED,Office building,Own an office building?,"We insure office buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",0,0,0,,,,Not applicable: paused native-form parent,0,
120250540492550660,120250564549600660,CP - form - v27 Own an older building?,ADSET_PAUSED,Older building / updates,Own an older building?,"Older building? Recent roof, wiring, or plumbing updates can mean a much lower rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0,0,0,,,,Not applicable: paused native-form parent,0,
